Year,LLM_AI_Related_Ratio,Keyword_AI_Related_Ratio,LLM_AI_Related_Papers,Keyword_AI_Related_Papers,Total_Papers
2015,38.46153846153847,23.076923076923077,5,3,13
2016,59.09090909090909,54.54545454545454,13,12,22
2017,77.5,57.49999999999999,31,23,40
2018,79.20792079207921,74.25742574257426,80,75,101
2019,93.52941176470588,84.11764705882354,159,143,170
2020,88.42105263157895,85.26315789473684,252,243,285
2021,86.30952380952381,81.25,290,273,336
2022,87.66066838046272,82.77634961439588,341,322,389
2023,92.43243243243244,86.3063063063063,513,479,555
2024,93.47496206373293,89.83308042488619,616,592,659
2025,90.55793991416309,87.55364806866953,211,204,233
